2025-12-22 14:27:39,229.2MiB / 7.654GiB,2.92%,127.21%,63.7MB / 28.8MB,160MB / 76.8MB
2025-12-22 14:27:52,229.3MiB / 7.654GiB,2.93%,92.92%,63.8MB / 28.8MB,160MB / 76.8MB
2025-12-22 14:28:04,229.5MiB / 7.654GiB,2.93%,100.12%,63.9MB / 28.9MB,160MB / 76.8MB
2025-12-22 14:28:16,229.6MiB / 7.654GiB,2.93%,100.52%,64.1MB / 28.9MB,160MB / 76.8MB
2025-12-22 14:28:27,231.6MiB / 7.654GiB,2.96%,102.26%,64.3MB / 29MB,160MB / 76.8MB
2025-12-22 14:28:39,230MiB / 7.654GiB,2.93%,101.57%,64.5MB / 29.1MB,160MB / 76.8MB
2025-12-22 14:28:51,230.1MiB / 7.654GiB,2.94%,96.59%,64.6MB / 29.2MB,160MB / 76.8MB
2025-12-22 14:29:03,230.5MiB / 7.654GiB,2.94%,96.61%,64.8MB / 29.3MB,160MB / 76.8MB
2025-12-22 14:29:14,230.4MiB / 7.654GiB,2.94%,96.71%,64.9MB / 29.3MB,160MB / 76.8MB
2025-12-22 14:29:26,230.5MiB / 7.654GiB,2.94%,101.39%,65.1MB / 29.4MB,160MB / 76.8MB
2025-12-22 14:29:38,234MiB / 7.654GiB,2.99%,102.25%,65.3MB / 29.5MB,160MB / 76.8MB
2025-12-22 14:29:49,230.9MiB / 7.654GiB,2.95%,101.39%,65.5MB / 29.6MB,160MB / 76.8MB
2025-12-22 14:30:01,231.3MiB / 7.654GiB,2.95%,96.95%,65.6MB / 29.7MB,160MB / 76.9MB
2025-12-22 14:30:13,231.4MiB / 7.654GiB,2.95%,90.05%,65.8MB / 29.7MB,160MB / 76.9MB
2025-12-22 14:30:24,231.4MiB / 7.654GiB,2.95%,100.59%,65.9MB / 29.8MB,160MB / 76.9MB
2025-12-22 14:30:36,231.7MiB / 7.654GiB,2.96%,95.59%,66.1MB / 29.9MB,160MB / 76.9MB
2025-12-22 14:30:48,231.7MiB / 7.654GiB,2.96%,99.20%,66.2MB / 30MB,160MB / 76.9MB
2025-12-22 14:30:59,231.9MiB / 7.654GiB,2.96%,99.98%,66.4MB / 30.1MB,160MB / 76.9MB
2025-12-22 14:31:11,232MiB / 7.654GiB,2.96%,100.86%,66.6MB / 30.2MB,160MB / 76.9MB
2025-12-22 14:31:23,232.1MiB / 7.654GiB,2.96%,99.03%,66.8MB / 30.2MB,160MB / 76.9MB
2025-12-22 14:31:34,232.5MiB / 7.654GiB,2.97%,89.42%,66.9MB / 30.3MB,160MB / 76.9MB
2025-12-22 14:31:46,232.6MiB / 7.654GiB,2.97%,98.36%,67.1MB / 30.4MB,160MB / 76.9MB
2025-12-22 14:31:58,232.6MiB / 7.654GiB,2.97%,91.52%,67.2MB / 30.4MB,160MB / 77MB
2025-12-22 14:32:09,232.7MiB / 7.654GiB,2.97%,100.10%,67.4MB / 30.5MB,160MB / 77MB
2025-12-22 14:32:21,232.9MiB / 7.654GiB,2.97%,102.13%,67.6MB / 30.6MB,160MB / 77MB
2025-12-22 14:32:33,233.3MiB / 7.654GiB,2.98%,88.30%,67.8MB / 30.7MB,160MB / 77MB
2025-12-22 14:32:44,233.2MiB / 7.654GiB,2.98%,101.57%,67.9MB / 30.8MB,160MB / 77MB
2025-12-22 14:32:56,233.6MiB / 7.654GiB,2.98%,92.36%,68.1MB / 30.8MB,160MB / 77MB
2025-12-22 14:33:08,233.5MiB / 7.654GiB,2.98%,96.56%,68.2MB / 30.9MB,160MB / 77MB
2025-12-22 14:33:19,233.7MiB / 7.654GiB,2.98%,92.78%,68.4MB / 31MB,160MB / 77MB
2025-12-22 14:33:31,234.1MiB / 7.654GiB,2.99%,102.33%,68.5MB / 31.1MB,160MB / 77MB
2025-12-22 14:33:43,235.6MiB / 7.654GiB,3.01%,100.39%,68.8MB / 31.2MB,160MB / 77MB
2025-12-22 14:33:54,234.4MiB / 7.654GiB,2.99%,93.83%,68.9MB / 31.3MB,160MB / 77MB
2025-12-22 14:34:06,236.3MiB / 7.654GiB,3.02%,97.39%,69.1MB / 31.3MB,160MB / 77.1MB
2025-12-22 14:34:18,234.7MiB / 7.654GiB,3.00%,85.25%,69.2MB / 31.4MB,160MB / 77.1MB
2025-12-22 14:34:29,234.6MiB / 7.654GiB,2.99%,109.30%,69.4MB / 31.4MB,160MB / 77.1MB
2025-12-22 14:34:42,235MiB / 7.654GiB,3.00%,100.93%,69.5MB / 31.5MB,160MB / 77.1MB
2025-12-22 14:34:54,234.9MiB / 7.654GiB,3.00%,99.23%,69.6MB / 31.6MB,160MB / 77.1MB
2025-12-22 14:35:05,235.1MiB / 7.654GiB,3.00%,101.15%,69.8MB / 31.7MB,160MB / 77.1MB
2025-12-22 14:35:17,235.2MiB / 7.654GiB,3.00%,100.69%,70MB / 31.8MB,160MB / 77.1MB
2025-12-22 14:35:28,235.4MiB / 7.654GiB,3.00%,100.06%,70.2MB / 31.8MB,160MB / 77.1MB
2025-12-22 14:35:42,235.5MiB / 7.654GiB,3.01%,102.09%,70.3MB / 31.9MB,160MB / 77.1MB
2025-12-22 14:35:53,236MiB / 7.654GiB,3.01%,89.45%,70.4MB / 31.9MB,160MB / 77.1MB
2025-12-22 14:36:05,235.8MiB / 7.654GiB,3.01%,95.03%,70.6MB / 32MB,160MB / 77.2MB
2025-12-22 14:36:17,236MiB / 7.654GiB,3.01%,98.32%,70.7MB / 32.1MB,160MB / 77.2MB
2025-12-22 14:36:28,236.4MiB / 7.654GiB,3.02%,100.72%,70.9MB / 32.2MB,160MB / 77.2MB
2025-12-22 14:36:40,236.3MiB / 7.654GiB,3.02%,100.56%,71.1MB / 32.3MB,160MB / 77.2MB
2025-12-22 14:36:52,236.4MiB / 7.654GiB,3.02%,102.66%,71.3MB / 32.3MB,160MB / 77.2MB
2025-12-22 14:37:04,236.8MiB / 7.654GiB,3.02%,104.30%,71.4MB / 32.4MB,160MB / 77.2MB
2025-12-22 14:37:15,237MiB / 7.654GiB,3.02%,93.84%,71.6MB / 32.5MB,160MB / 77.2MB
2025-12-22 14:37:27,236.9MiB / 7.654GiB,3.02%,95.88%,71.7MB / 32.5MB,160MB / 77.2MB
2025-12-22 14:37:38,237.3MiB / 7.654GiB,3.03%,86.98%,71.8MB / 32.6MB,160MB / 77.2MB
2025-12-22 14:37:51,237.5MiB / 7.654GiB,3.03%,100.71%,72MB / 32.7MB,160MB / 77.2MB
2025-12-22 14:38:03,237.6MiB / 7.654GiB,3.03%,99.46%,72.2MB / 32.8MB,160MB / 77.2MB
2025-12-22 14:38:14,237.5MiB / 7.654GiB,3.03%,95.99%,72.4MB / 32.9MB,161MB / 77.3MB
2025-12-22 14:38:26,237.6MiB / 7.654GiB,3.03%,99.63%,72.5MB / 32.9MB,161MB / 77.3MB
2025-12-22 14:38:38,237.8MiB / 7.654GiB,3.03%,89.93%,72.7MB / 33MB,161MB / 77.3MB
2025-12-22 14:38:49,238MiB / 7.654GiB,3.04%,87.27%,72.8MB / 33MB,161MB / 77.3MB
2025-12-22 14:39:01,238.4MiB / 7.654GiB,3.04%,96.74%,73MB / 33.1MB,161MB / 77.3MB
2025-12-22 14:39:13,238.3MiB / 7.654GiB,3.04%,100.60%,73.1MB / 33.2MB,161MB / 77.3MB
2025-12-22 14:39:25,238.4MiB / 7.654GiB,3.04%,100.87%,73.3MB / 33.3MB,161MB / 77.3MB
2025-12-22 14:39:36,238.8MiB / 7.654GiB,3.05%,87.41%,73.5MB / 33.4MB,161MB / 77.3MB
2025-12-22 14:39:48,238MiB / 7.654GiB,3.04%,98.94%,73.6MB / 33.5MB,161MB / 77.3MB
2025-12-22 14:39:59,238MiB / 7.654GiB,3.04%,90.78%,73.8MB / 33.5MB,161MB / 77.3MB
2025-12-22 14:40:11,238MiB / 7.654GiB,3.04%,101.65%,73.9MB / 33.6MB,161MB / 77.4MB
2025-12-22 14:40:23,238.4MiB / 7.654GiB,3.04%,98.20%,74.1MB / 33.7MB,161MB / 77.4MB
2025-12-22 14:40:35,239.3MiB / 7.654GiB,3.05%,98.07%,74.3MB / 33.8MB,161MB / 77.4MB
2025-12-22 14:40:46,238.8MiB / 7.654GiB,3.05%,100.75%,74.5MB / 33.9MB,161MB / 77.4MB
2025-12-22 14:40:58,238.9MiB / 7.654GiB,3.05%,91.24%,74.6MB / 33.9MB,161MB / 77.4MB
2025-12-22 14:41:09,238.8MiB / 7.654GiB,3.05%,82.87%,74.8MB / 34MB,161MB / 77.4MB
2025-12-22 14:41:21,239MiB / 7.654GiB,3.05%,88.76%,75MB / 34.1MB,161MB / 77.4MB
2025-12-22 14:41:33,239.7MiB / 7.654GiB,3.06%,100.05%,75.1MB / 34.1MB,161MB / 77.4MB
2025-12-22 14:41:45,240.3MiB / 7.654GiB,3.07%,96.84%,75.3MB / 34.2MB,161MB / 77.4MB
2025-12-22 14:41:56,240.5MiB / 7.654GiB,3.07%,99.46%,75.4MB / 34.3MB,161MB / 77.4MB
2025-12-22 14:42:08,240.6MiB / 7.654GiB,3.07%,99.53%,75.6MB / 34.4MB,161MB / 77.4MB
2025-12-22 14:42:19,240.7MiB / 7.654GiB,3.07%,96.00%,75.8MB / 34.5MB,161MB / 77.5MB
2025-12-22 14:42:32,243MiB / 7.654GiB,3.10%,104.18%,76MB / 34.5MB,161MB / 77.5MB
