timestamp,minutes_elapsed,cpu_percent,memory_mb,memory_limit_mb,memory_percent,net_io,block_io
2025-12-23 11:30:11,9,98.78,283.7,7837.7,,,
2025-12-23 11:30:22,9,95.12,285.5,7837.7,,,
2025-12-23 11:30:35,10,105.23,285.9,7837.7,,,
2025-12-23 11:30:46,10,96.39,267.8,7837.7,,,
2025-12-23 11:30:58,10,105.06,267.2,7837.7,,,
2025-12-23 11:31:09,10,95.88,268.1,7837.7,,,
2025-12-23 11:31:21,10,107.41,269,7837.7,,,
2025-12-23 11:31:33,11,103.84,267.8,7837.7,,,
2025-12-23 11:31:45,11,105.71,267.4,7837.7,,,
2025-12-23 11:31:56,11,97.31,269.4,7837.7,,,
2025-12-23 11:32:08,11,99.20,267.6,7837.7,,,
2025-12-23 11:32:20,11,107.25,268.2,7837.7,,,
2025-12-23 11:32:31,11,91.94,270,7837.7,,,
2025-12-23 11:32:44,12,106.53,269.2,7837.7,,,
2025-12-23 11:32:56,12,107.05,269.4,7837.7,,,
2025-12-23 11:33:07,12,96.98,269.7,7837.7,,,
2025-12-23 11:33:19,12,93.84,270.9,7837.7,,,
2025-12-23 11:33:31,12,103.36,269.7,7837.7,,,
2025-12-23 11:33:42,13,101.97,269.9,7837.7,,,
2025-12-23 11:33:55,13,100.19,270,7837.7,,,
2025-12-23 11:34:06,13,100.65,270.4,7837.7,,,
2025-12-23 11:34:18,13,98.96,270.5,7837.7,,,
2025-12-23 11:34:30,13,102.97,270.4,7837.7,,,
2025-12-23 11:34:42,14,108.77,271.9,7837.7,,,
2025-12-23 11:34:54,14,98.54,270.9,7837.7,,,
2025-12-23 11:35:06,14,102.82,270.8,7837.7,,,
2025-12-23 11:35:17,14,98.20,271.2,7837.7,,,
2025-12-23 11:35:29,14,70.37,271.1,7837.7,,,
2025-12-23 11:35:41,15,105.95,271.5,7837.7,,,
2025-12-23 11:35:52,15,117.01,271.4,7837.7,,,
2025-12-23 11:36:04,15,98.40,273.3,7837.7,,,
2025-12-23 11:36:16,15,81.26,235.9,7837.7,,,
2025-12-23 11:36:28,15,103.84,235.8,7837.7,,,
2025-12-23 11:36:39,16,101.21,236.2,7837.7,,,
2025-12-23 11:36:51,16,74.49,236.1,7837.7,,,
2025-12-23 11:37:02,16,104.85,236.2,7837.7,,,
2025-12-23 11:37:15,16,103.30,236.4,7837.7,,,
2025-12-23 11:37:26,16,104.69,236.5,7837.7,,,
2025-12-23 11:37:38,17,84.72,236.9,7837.7,,,
2025-12-23 11:37:50,17,97.33,236.8,7837.7,,,
2025-12-23 11:38:01,17,99.58,237,7837.7,,,
