timestamp,elapsed_min,gen0_before,gen1_before,gen2_before,collected,total_before,gen0_after,gen1_after,gen2_after
2026-01-02 12:07:53,224,42,8,0,0,50,0,0,0
2026-01-02 12:08:10,224,42,8,0,0,50,0,0,0
2026-01-02 12:08:25,225,42,8,0,0,50,0,0,0
2026-01-02 12:08:40,225,42,8,0,0,50,0,0,0
2026-01-02 12:08:56,225,42,8,0,0,50,0,0,0
2026-01-02 12:09:11,225,42,8,0,0,50,0,0,0
2026-01-02 12:09:27,226,42,8,0,0,50,0,0,0
2026-01-02 12:09:43,226,42,8,0,0,50,0,0,0
2026-01-02 12:09:58,226,42,8,0,0,50,0,0,0
2026-01-02 12:10:13,226,42,8,0,0,50,0,0,0
2026-01-02 12:10:28,227,42,8,0,0,50,0,0,0
2026-01-02 12:10:44,227,42,8,0,0,50,0,0,0
2026-01-02 12:11:00,227,42,8,0,0,50,0,0,0
2026-01-02 12:11:15,227,42,8,0,0,50,0,0,0
2026-01-02 12:11:31,228,42,8,0,0,50,0,0,0
2026-01-02 12:11:47,228,42,8,0,0,50,0,0,0
2026-01-02 12:12:03,228,42,8,0,0,50,0,0,0
2026-01-02 12:12:18,229,42,8,0,0,50,0,0,0
2026-01-02 12:12:33,229,42,8,0,0,50,0,0,0
2026-01-02 12:12:49,229,42,8,0,0,50,0,0,0
2026-01-02 12:13:04,229,42,8,0,0,50,0,0,0
2026-01-02 12:13:19,230,42,8,0,0,50,0,0,0
2026-01-02 12:13:35,230,42,8,0,0,50,0,0,0
2026-01-02 12:13:51,230,42,8,0,0,50,0,0,0
2026-01-02 12:14:06,230,42,8,0,0,50,0,0,0
2026-01-02 12:14:22,231,42,8,0,0,50,0,0,0
2026-01-02 12:14:37,231,42,8,0,0,50,0,0,0
2026-01-02 12:14:52,231,42,8,0,0,50,0,0,0
2026-01-02 12:15:08,231,42,8,0,0,50,0,0,0
2026-01-02 12:15:23,232,42,8,0,0,50,0,0,0
2026-01-02 12:15:39,232,42,8,0,0,50,0,0,0
2026-01-02 12:15:54,232,42,8,0,0,50,0,0,0
2026-01-02 12:16:09,232,42,8,0,0,50,0,0,0
2026-01-02 12:16:25,233,42,8,0,0,50,0,0,0
2026-01-02 12:16:40,233,42,8,0,0,50,0,0,0
2026-01-02 12:16:56,233,42,8,0,0,50,0,0,0
2026-01-02 12:17:11,233,42,8,0,0,50,0,0,0
2026-01-02 12:17:27,234,42,8,0,0,50,0,0,0
2026-01-02 12:17:42,234,42,8,0,0,50,0,0,0
2026-01-02 12:17:58,234,42,8,0,0,50,0,0,0
2026-01-02 12:18:14,234,42,8,0,0,50,0,0,0
2026-01-02 12:18:30,235,42,8,0,0,50,0,0,0
2026-01-02 12:18:45,235,42,8,0,0,50,0,0,0
2026-01-02 12:19:00,235,42,8,0,0,50,0,0,0
2026-01-02 12:19:17,236,42,8,0,0,50,0,0,0
2026-01-02 12:19:32,236,42,8,0,0,50,0,0,0
2026-01-02 12:19:47,236,42,8,0,0,50,0,0,0
