timestamp,elapsed_min,gen0_before,gen1_before,gen2_before,collected,total_before,gen0_after,gen1_after,gen2_after
2025-12-19 10:08:58,17,42,8,0,0,50,0,0,0
2025-12-19 10:09:13,17,42,8,0,0,50,0,0,0
2025-12-19 10:09:28,17,42,8,0,0,50,0,0,0
2025-12-19 10:13:17,21,42,8,0,0,50,0,0,0
2025-12-19 10:13:32,21,42,8,0,0,50,0,0,0
2025-12-19 10:13:48,22,42,8,0,0,50,0,0,0
2025-12-19 10:14:03,22,42,8,0,0,50,0,0,0
2025-12-19 10:14:18,22,42,8,0,0,50,0,0,0
2025-12-19 10:14:34,22,42,8,0,0,50,0,0,0
2025-12-19 10:14:51,23,42,8,0,0,50,0,0,0
2025-12-19 10:15:07,23,42,8,0,0,50,0,0,0
2025-12-19 10:15:24,23,42,8,0,0,50,0,0,0
2025-12-19 10:15:39,23,42,8,0,0,50,0,0,0
2025-12-19 10:15:56,24,42,8,0,0,50,0,0,0
2025-12-19 10:16:12,24,42,8,0,0,50,0,0,0
2025-12-19 10:16:29,24,42,8,0,0,50,0,0,0
2025-12-19 10:16:45,25,42,8,0,0,50,0,0,0
2025-12-19 10:17:00,25,42,8,0,0,50,0,0,0
2025-12-19 10:17:16,25,42,8,0,0,50,0,0,0
2025-12-19 10:17:31,25,42,8,0,0,50,0,0,0
2025-12-19 10:17:48,26,42,8,0,0,50,0,0,0
2025-12-19 10:18:04,26,42,8,0,0,50,0,0,0
2025-12-19 10:18:19,26,42,8,0,0,50,0,0,0
2025-12-19 10:18:34,26,42,8,0,0,50,0,0,0
2025-12-19 10:18:50,27,42,8,0,0,50,0,0,0
2025-12-19 10:19:05,27,42,8,0,0,50,0,0,0
2025-12-19 10:19:22,27,42,8,0,0,50,0,0,0
2025-12-19 10:19:40,28,42,8,0,0,50,0,0,0
2025-12-19 10:19:57,28,42,8,0,0,50,0,0,0
2025-12-19 10:20:12,28,42,8,0,0,50,0,0,0
2025-12-19 10:20:27,28,42,8,0,0,50,0,0,0
2025-12-19 10:20:42,29,42,8,0,0,50,0,0,0
2025-12-19 10:20:58,29,42,8,0,0,50,0,0,0
2025-12-19 10:21:13,29,42,8,0,0,50,0,0,0
2025-12-19 10:21:28,29,42,8,0,0,50,0,0,0
2025-12-19 10:21:43,30,42,8,0,0,50,0,0,0
2025-12-19 10:21:58,30,42,8,0,0,50,0,0,0
2025-12-19 10:22:13,30,42,8,0,0,50,0,0,0
2025-12-19 10:22:28,30,42,8,0,0,50,0,0,0
2025-12-19 10:22:43,31,42,8,0,0,50,0,0,0
2025-12-19 10:22:58,31,42,8,0,0,50,0,0,0
2025-12-19 10:23:13,31,42,8,0,0,50,0,0,0
2025-12-19 10:23:28,31,42,8,0,0,50,0,0,0
